"source";"target";"purpose"
"J85-2007";"0";"present"
"P96-1025";"1";"present"
"W96-0209";"2";"use"
"A94-1013";"3";"use"
"J90-1003";"4";"introduce"
"P93-1001";"5";"report"
"A94-1028";"6";"report"
"A94-1028";"7";"report"
"A92-1018";"8";"report"
"P89-1013";"9";"proposed by"
"J93-1002";"10";"proposed by"
"P91-1022";"11";"method"
"P91-1034";"12";"method"
"J96-4002";"13";"use"
"W97-1102";"14";"use"
"P98-2200";"15";"present"
"J96-4003";"16";"use"
"W97-1102";"17";"use"
"J96-4003";"18";"use"
"W97-1102";"19";"use"
"J96-4003";"20";"present"
"W97-1102";"21";"present"
"W94-0319";"22";"present"
"J83-3005";"23";"use"
"P94-1026";"24";"present"
"E97-1041";"25";"present"
"P98-1083";"26";"use"
"P99-1045";"27";"present"
"W96-0213";"28";"report"
"W98-0610";"29";"present"
"W99-0905";"30";"use"
"P91-1022";"31";"method"
"J93-1004";"32";"method"
"W04-1121";"33";"method"
"P93-1041";"34";"approach"
"J97-1007";"35";"present"
"P99-1004";"36";"proposed by"
"P98-2247";"37";"present"
"P91-1019";"38";"use"
"J93-1005";"39";"present"
"J82-2003";"40";"approach"
"D12-1035";"41";"report"
"J07-4004";"42";"use"
"P06-1115";"43";"approach"
"N07-2021";"44";"approach"
"P06-1115";"45";"approach"
"N07-2021";"46";"approach"
"P06-1115";"47";"approach"
"N07-2021";"48";"approach"
"P95-1007";"49";"present"
"D09-1046";"50";"present"
"S12-1027";"51";"present"
"E12-1060";"52";"proposed by"
"P11-2061";"53";"proposed by"
"S12-1027";"54";"use"
"W07-0103";"55";"use"
"D10-1115";"56";"present"
"D10-1113";"57";"present"
"D12-1110";"58";"present"
"J11-2001";"59";"approach"
"P12-2024";"60";"proposed by"
"E06-1051";"61";"proposed by"
"N10-1137";"62";"method"
"W12-3404";"63";"present"
"N10-1137";"64";"method"
"P11-1112";"65";"method"
"P12-1068";"66";"method"
"W11-0112";"67";"present"
"S13-2099";"68";"use"
"E06-1051";"69";"method"
"P11-1038";"70";"use"
"S10-1079";"71";"present"
"E03-1020";"72";"use"
"D10-1073";"73";"use"
"S12-1051";"74";"proposed by"
"S12-1059";"75";"use"
"S12-1060";"76";"use"
"P05-2008";"77";"use"
"N06-1003";"78";"use"
"S13-2005";"79";"present"
"N12-1021";"80";"proposed by"
"P96-1006";"81";"proposed by"
"S10-1063";"82";"use"
"S12-1061";"83";"proposed by"
"P11-1138";"84";"introduce"
"W12-3704";"85";"present"
"W11-4208";"86";"present"
"W13-2714";"87";"present"
"J01-4004";"88";"proposed by"
"P08-1081";"89";"method"
